,program,course_title,course_unit,equivalent_courses,instructors,notes
SOCI 20001,Sociology,Sociological Methods,100,,C.S. Lee,
SOCI 20002,Sociology,Social Structure and Change,100,,M. Garrido,
SOCI 20004,Sociology,Statistical Methods of Research,100,SOCI 30004,S. Raudenbush,Students are expected to attend two lectures and one lab per week. UG Sociology majors and Sociology PhD students only. Others by consent of instructor
SOCI 20005,Sociology,Sociological Theory,100,,A. Abbott,Required of students who are majoring in Sociology.
SOCI 20101,Sociology,Organizational Analysis,100,"PBPL 23000,SOCI 30101",E. Laumann,
SOCI 20102,Sociology,Social Change,100,SOCI 30102,"D. Zhao, C. Lee",
SOCI 20103,Sociology,Social Stratification,100,SOCI 30103,R. Stolzenberg,
SOCI 20104,Sociology,Urban Structure and Process,100,"CRES 20104,GEOG 22700,GEOG 32700,SOCI 30104,SOSC 25100",F. Stuart,
SOCI 20105,Sociology,Bidwell's Educational Organization and Social Inequality,100,"SOCI 30105,PPHA 39300",S. Stoelinga,
SOCI 20106,Sociology,Political Sociology,100,"ENST 23500,PBPL 23600,SOCI 30106",E. Clemens,
SOCI 20107,Sociology,Sociology of Human Sexuality,100,"GNSE 27100,SOCI 30107",E. Laumann,
SOCI 20112,Sociology,Applications of Hierarchical Linear Models,100,SOCI 30112,S. Raudenbush,
SOCI 20116,Sociology,Global-Local Politics,100,"HMRT 20116,HMRT 30116,PBPL 27900,SOCI 30116,LLSO 20116",T. Clark,
SOCI 20120,Sociology,Urban Policy Analysis,100,"PBPL 24800,SOCI 30120",T. Clark,
SOCI 20122,Sociology,Introduction to Population,100,"SOCI 30122,ENST 20500,GNDR 20120,GNDR 30120",K. Cagney,
SOCI 20140,Sociology,Qualitative Field Methods,100,"CRES 20140,CHDV 20140",O. McRoberts,"CHDV Distribution, M*"
SOCI 20157,Sociology,Mathematical Models,100,SOCI 30157,K. Yamaguchi,
SOCI 20179,Sociology,Labor Force and Employment,100,SOCI 30179,R. Stolzenberg,
SOCI 20184,Sociology,"Political Culture, Social Capital, and the Arts",100,SOCI 30184,T. Clark,
SOCI 20191,Sociology,Social Change in the United States,100,SOCI 30191,R. Stolzenberg,
SOCI 20192,Sociology,The Effects of Schooling,100,SOCI 30192,R. Stolzenberg,
SOCI 20222,Sociology,Philanthropy:  Private Acts and Public Goods,100,PBPL 27070,E. Clemens,
SOCI 20226,Sociology,Urban Schools and Communities,100,"CHDV 27821,PBPL 27821",S. Stoelinga,"CHDV Distribution, C"
SOCI 20232,Sociology,Sociology of Religion,100,"SOCI 30232,AASR 30232",Y. Sun,
SOCI 20233,Sociology,Race in Contemporary American Society,100,SOCI 30233,S. Hicks-Bartlett,
SOCI 20239,Sociology,Urban School Reform: History and Policy,100,PBPL 27823,S. Stoelinga,
SOCI 20245,Sociology,Global Health and Inequality,100,SOCI 30245,J. Trinitapoli,
SOCI 20248,Sociology,"Inequality, Health, and The Life Course",100,"CHDV 30440,SOCI 30248,CHDV 20440",A. Mueller,"CHDV Distribution: B*, C*; 2*, 4*"
SOCI 20252,Sociology,Urban Innovation: Cultural Place Making and Scenescapes,100,SOCI 30252,T. Clark,
SOCI 20253,Sociology,Introduction to Spatial Data Science,100,"SOCI 30253,GEOG 20500,MACS 54000",L. Anselin,
SOCI 20255,Sociology,"Crime, Justice, and Inequality in the American City",100,PBPL 25860,"Broughton, C.",
SOCI 20257,Sociology,The Third World City,100,SOCI 30257,M. Garrido,
SOCI 20258,Sociology,Maverick Markets: Cultural Economy and Cultural Finance,100,"ANTH 25440,ANTH 35405,SOCI 30258",K. Knorr Cetina,
SOCI 28070,Sociology,Gender and Development,100,"CHDV 14510,PBPL 24510,GNSE 14510,ECON 14510",A. Gonzalez,
SOCI 28071,Sociology,Sociology of Law,100,,R. Owens,
SOCI 28072,Sociology,Urban Space and Place,100,,J. Feldman,
SOCI 28073,Sociology,Sociology of the Arts,100,,W. Johnson,
SOCI 28074,Sociology,Sociology of Social Media,100,,N. Taplin,
SOCI 29997,Sociology,Readings in Sociology,100,,,
SOCI 29998,Sociology,Sociology BA Thesis Seminar,100,,,Must be taken for a quality grade.
ISHU 29802,Interdisciplinary Studies in the Humanities,The BA Colloquium,000,,,"Required of third-year students who are majoring in ISHU. This zero-unit, noncredit course must be taken for P/F grading. To meet requirements for full-time student status, students must carry at least three additional courses while registered for this course."
ISHU 29900,Interdisciplinary Studies in the Humanities,Preparation of the BA Project,100,,,Students are required to submit the College Reading and Research Course Form.
NSCI 20100,Neuroscience,Neuroscience Laboratory,100,,Staff,This course will not be available in the 2016–17 academic year. It will be offered in the 2017–18 academic year and each year thereafter.
NSCI 20110,Neuroscience,Fundamental Neuroscience,100,,"C. Ragsdale, P. Mason",
NSCI 20120,Neuroscience,Cellular Neuroscience,100,,"R. A. Eatock, W. Wei, Staff",
NSCI 20130,Neuroscience,Systems Neurobiology,100,,"D. Freedman, Staff",
NSCI 29100,Neuroscience,Neuroscience Thesis Research,100,,Staff,
NSCI 29101,Neuroscience,Neuroscience Thesis Research,100,,Staff,
NSCI 29102,Neuroscience,Neuroscience Thesis Research,100,,Staff,
NSCI 29200,Neuroscience,Neuroscience Honors Thesis Research,100,,Staff,
NSCI 29201,Neuroscience,Neuroscience Honors Thesis Research,100,,Staff,
NSCI 29202,Neuroscience,Neuroscience Honors Thesis Research,100,,Staff,
ENST 12100,Environmental Studies,Chemistry and the Atmosphere,100,PHSC 13500,,As of Fall 2015 this course will no longer be offered.
ENST 12300,Environmental Studies,Global Warming: Understanding the Forecast,100,"PHSC 13400,GEOS 13400,ENSC 13400","D. Archer, D. MacAyeal",
ENST 12402,Environmental Studies,Life through a Genomic Lens,100,BIOS 11125,"A. Turkewitz, M. Nobrega",
ENST 13106,Environmental Studies,"The Hungry Earth: Light, Energy, and Subsistence",100,BIOS 13106,M. Ruddat,
ENST 13132,Environmental Studies,Ecology in the Anthropocene,100,BIOS 13132,Trevor Price,
ENST 13300,Environmental Studies,The Atmosphere,100,"GEOS 13300,ENSC 13300",D. Abbot,
ENST 20500,Environmental Studies,Introduction to Population,100,"SOCI 30122,GNDR 20120,GNDR 30120,SOCI 20122",K. Cagney,
ENST 21201,Environmental Studies,Human Impact on the Environment,100,NCDV 21201,Staff,ENST 21201 and 21301 are required of students who are majoring in Environmental Studies and may be taken in any order.
ENST 21301,Environmental Studies,Making the Natural World: Foundations of Human Ecology,100,ANTH 21303,M. Lycett,ENST 21201 and 21301 are required of students who are majoring in Environmental Studies and may be taken in any order.
ENST 21800,Environmental Studies,Economics and Environmental Policy,100,"LLSO 26201,PBPL 21800",S. Shaikh,
ENST 22000,Environmental Studies,The Anthropology of Development,100,"ANTH 35500,ANTH 22000",A. Kolata,
ENST 22209,Environmental Studies,Philosophies of Environmentalism and Sustainability,100,"HMRT 22201,MAPH 32209,GNSE 22204,PLSC 22202,PHIL 22209",B. Schultz,Course is open to undergraduates and MAPH students.
ENST 22506,Environmental Studies,The Natures of the Factory Farm,100,,A. Blanchette,
ENST 23100,Environmental Studies,Environmental Law,100,"LLSO 23100,PBPL 23100",R. Lodato,
ENST 23289,Environmental Studies,Marine Ecology,100,BIOS 23289,T. Wootton,
ENST 23500,Environmental Studies,Political Sociology,100,"PBPL 23600,SOCI 30106,SOCI 20106",E. Clemens,
ENST 23900,Environmental Studies,Environmental Chemistry,100,"GEOS 23900,GEOS 33900,ENSC 23900","A. Colman, D. Archer",
ENST 24102,Environmental Studies,Environmental Politics,100,,R. Lodato,
ENST 24104,Environmental Studies,"Ecopoetics: Nature, Lyric, and Ecology",100,"ENGL 26406,GLST 24104",Joseph Moctezuma,
ENST 24701,Environmental Studies,U.S. Environmental Policy,100,"LLSO 24901,PBPL 24701",R. Lodato,
ENST 24705,Environmental Studies,"Energy: Science, Technology, and Human Usage",100,"GEOS 24705,GEOS 34705,ENSC 21100",E. Moyer,
ENST 25100,Environmental Studies,Ecological Applications to Conservation Biology,100,"BIOS 23351,ECEV 31300","C. Pfister, E. Larsen",
ENST 25300,Environmental Studies,The Planetary Footprint of Farming,100,GEOS 25300,P. Martin,
ENST 25500,Environmental Studies,Biogeography,100,"EVOL 45500,GEOG 25500,GEOG 35500,BIOS 23406","B. Patterson (odd years, lab). L., Heaney (even years, discussion)",
ENST 25900,Environmental Studies,Cultural Geography,100,"GEOG 20100,GEOG 30100",M. Mikesell,
ENST 26100,Environmental Studies,Roots of the Modern American City,100,"GEOG 26100,GEOG 36100,HIST 28900,HIST 38900",M. Conzen,This course offered in odd years.
ENST 26201,Environmental Studies,"Naturalizing Disaster: Nature, Vulnerability, and Social History",100,"ANTH 28200,ANTH 38220",M. Lycett and P. Drake,
ENST 26220,Environmental Studies,Southeast Asia and the Environmental Imagination,100,,,
ENST 26405,Environmental Studies,Nineteenth-Century Environmental Thought,100,ENGL 26405,B. Morgan,
ENST 26420,Environmental Studies,Sustainable Food Enterprise Lab,100,,T. Yifat,
ENST 26433,Environmental Studies,Practicum in Environmental Management,100,,S. Sabina,
ENST 26444,Environmental Studies,Practicum in Campus Athletics and Environment,100,PBPL 26444,S. Shaikh,
ENST 26500,Environmental Studies,Environmental Economics,100,ECON 26500,"G. Tolley, S. Shaikh",
ENST 26505,Environmental Studies,Non-Industrial Agriculture,100,"ANTH 46505,ANTH 26505",K. Morrison,
ENST 26530,Environmental Studies,"Environment, Agriculture, and Food: Economic and Policy Analysis",100,"ECON 26530,PBPL 26530,PPHA 32510",S. Shaikh,
ENST 26531,Environmental Studies,"Environment, Agriculture, and Food: Advanced Economic and Policy Analysis",100,"ECON 26540,PBPL 26531,PPHA 32520",S. Shaikh,
ENST 26701,Environmental Studies,Tropical Ecology,100,BIOS 23257,,
ENST 27100,Environmental Studies,Integrative Research Seminar: Calumet,100,,Staff,
ENST 27201,Environmental Studies,Food Security and Agriculture: Calumet,100,,K. Morrison,
ENST 27220,Environmental Studies,Environmental Management and Planning in the Calumet Region,100,,S. Shaikh,
ENST 27301,Environmental Studies,Restoration Ecology,100,,T. Massad,
ENST 27320,Environmental Studies,Topics in the Ecology of the Calumet Region,100,,A. Anastasio,
ENST 27420,Environmental Studies,"Urban Gardens: Therapeutic, Educational, and Community Building Practicum",100,,M. Mass,This course will include off-site field trips and community service/teaching commitment.
ENST 27750,Environmental Studies,"Practicum in Environment, Agriculture, and Food Policy I",100,PBPL 27750,S. Shaikh,
ENST 27751,Environmental Studies,"Practicum in Environment, Agriculture, and Food Policy II",100,PBPL 27751,S. Shaikh,
ENST 28210,Environmental Studies,Colonial Ecologies,100,"ANTH 48210,ANTH 38210,LACS 28210,ANTH 28210","M. Lycett, K. Morrison",
ENST 29000,Environmental Studies,Energy and Energy Policy,100,"CHSS 37502,ECON 26800,PBPL 29000,PPHA 39201,PSMS 39000,BPRO 29000","S. Berry, G. Tolley",
ENST 29700,Environmental Studies,Reading and Research,100,,,Students are required to submit the College Reading and Research Course Form. This course may be counted as one of the electives required for the major.
ENST 29720,Environmental Studies,Reading and Research: Calumet,100,,Staff,
ENST 29801,Environmental Studies,BA Colloquium I,100,,Staff,Required of students with fourth-year standing who are majoring in Environmental Studies.
ENST 29802,Environmental Studies,BA Colloquium II,100,,Staff,
LLSO 20116,"Law, Letters, and Society",Global-Local Politics,100,"HMRT 20116,HMRT 30116,PBPL 27900,SOCI 30116,SOCI 20116",T. Clark,
LLSO 21400,"Law, Letters, and Society",Health and Human Rights,100,"MEDC 60405,CHDV 21400,HMRT 21400","R. Sherer, E. Lyon",
LLSO 21603,"Law, Letters, and Society",Machiavelli and Machiavellism,100,"CMLT 25801,FNDL 21603,CMLT 35801,ITAL 23000",R. Rubini,Course conducted in English. Those seeking Italian credit will do all work in Italian.
LLSO 22209,"Law, Letters, and Society","Introduction to Black Chicago, 1893 to 2010",100,"AMER 27705,AMER 37705,CRES 37705,HIST 37705,CRES 27705,HIST 27705",A. Green,
LLSO 22401,"Law, Letters, and Society",Topics in Judicial Studies,100,,Dennis Hutchinson,
LLSO 22402,"Law, Letters, and Society",Florentine Political Thought,100,"PLSC 52402,PLSC 22402",J. McCormick,
LLSO 22403,"Law, Letters, and Society",Free Speech and the First Amendment,100,,Geoffrey Stone,
LLSO 22612,"Law, Letters, and Society",Introduction to Political Philosophy,100,"GNSE 21601,PLSC 22600,PHIL 21600",B. Laurence,Students should register via discussion section.
LLSO 22710,"Law, Letters, and Society",Electoral Politics in America,100,PLSC 22710,M. Hansen,
LLSO 23100,"Law, Letters, and Society",Environmental Law,100,"ENST 23100,PBPL 23100",R. Lodato,
LLSO 23415,"Law, Letters, and Society",Emergence of Capitalism,100,"PLSC 32815,HIST 23304,HIST 33304,PLSC 23415",W. Sewell,
LLSO 23900,"Law, Letters, and Society",Introduction to Constitutional Law,100,"PLSC 48800,PLSC 28800",G. Rosenberg,
LLSO 24000,"Law, Letters, and Society",Civil Rights/Civil Liberties,100,PLSC 29200,G. Rosenberg,
LLSO 24200,"Law, Letters, and Society",Legal Reasoning,100,,D. Hutchinson,
LLSO 24300,"Law, Letters, and Society",American Law and the Rhetoric of Race,100,"LAWS 59800,LAWS 49801",D. Hutchinson,
LLSO 24711,"Law, Letters, and Society","Lincoln: Slavery, War, and the Constitution",100,"FNDL 24711,HIST 27102",D. Hutchinson,
LLSO 24805,"Law, Letters, and Society",Legitimacy and Political Institutions,100,PLSC 24805,J. Patty,
LLSO 24901,"Law, Letters, and Society",U.S. Environmental Policy,100,"ENST 24701,PBPL 24701",R. Lodato,
LLSO 25215,"Law, Letters, and Society",The American Presidency,100,"PLSC 35215,PLSC 25215",W. Howell,
LLSO 25411,"Law, Letters, and Society",Not Just the Facts: Telling About the American South,100,"AMER 27006,HIST 27006",J. Dailey,
LLSO 25610,"Law, Letters, and Society","Authority, Obligation, and Dissent",100,PLSC 25610,S. Muthu,
LLSO 25903,"Law, Letters, and Society",Liberalism and Empire,100,"HMRT 23010,PLSC 33010,PLSC 23010",J. Pitts,
LLSO 26000,"Law, Letters, and Society","Law and Society in Early America, 1600–1800",100,"HIST 37001,HIST 27001",E. Cook,
LLSO 26201,"Law, Letters, and Society",Economics and Environmental Policy,100,"PBPL 21800,ENST 21800",S. Shaikh,
LLSO 26202,"Law, Letters, and Society",Economics of Urban Policies,100,"GEOG 26600,GEOG 36600,PBPL 24500,ECON 26600","G. Tolley, K. Ierulli",
LLSO 26703,"Law, Letters, and Society",Political Parties in the United States,100,PLSC 26703,R. Bloch Rubin,
LLSO 26804,"Law, Letters, and Society","Insurgency, Terrorism, and Civil War",100,PLSC 26800,P. Staniland,
LLSO 27306,"Law, Letters, and Society",US Women and Gender,100,"HMRT 27306,CRES 23700,GNSE 27306,HIST 27306",A. Stanley,
LLSO 27950,"Law, Letters, and Society",The Declaration of Independence,100,"FNDL 27950,HIST 17604,HMRT 17950,ENGL 17950",E. Slauter,
LLSO 28203,"Law, Letters, and Society",Writing Speeches: Reagan and Obama,100,"CRWR 26405,ENGL 11404",L. McEnerney,
LLSO 28710,"Law, Letters, and Society",Democracy and the Politics of Wealth Redistribution,100,PLSC 28710,M. Albertus,
LLSO 28712,"Law, Letters, and Society",Civil Rights Movement,100,"HIST 37406,CRES 27406,CRES 37406,HIST 27406",T. Holt,
LLSO 29050,"Law, Letters, and Society",Youth Law and Policy: Child Welfare and Juv. Just. in the U.S,100,"HMRT 29050,PBPL 29050",Andrew Hammond,
LLSO 29400,"Law, Letters, and Society",Research Seminar,100,,D. Hutchinson,
PSYC 20000,Psychology,Fundamentals of Psychology,100,,J. Cacioppo,
PSYC 20100,Psychology,Psychological Statistics,100,,D. Yurovsky,
PSYC 20200,Psychology,Psychological Research Methods,100,,A. Henly,
PSYC 20209,Psychology,Adolescent Development,100,CHDV 20209,M. Spencer,"CHDV Distribution: B*, D*"
PSYC 20300,Psychology,Biological Psychology,100,"BIOS 29300,CHDV 20300","L. Kay, B. Prendergast",This course does not meet requirements for the biological sciences major. CHDV Distribution: A*
PSYC 20400,Psychology,Cognitive Psychology,100,,M. Berman,
PSYC 20500,Psychology,Developmental Psychology,100,CHDV 25900,"K. O'Doherty, L. Richland","CHDV Distribution, B*"
PSYC 20600,Psychology,Social Psychology,100,,W. Goldstein,"Can count towards CHDV, C specialization, but not C distribution"
PSYC 20700,Psychology,Sensation and Perception,100,,S. Shevell,
PSYC 20850,Psychology,Introduction to Human Development,100,CHDV 20000,Multiple Staff Members,Required Course for Comparative Human Development Majors
PSYC 21115,Psychology,Social Cognitive Development,100,,Kate O'Doherty,
PSYC 21125,Psychology,Conceptual Development,100,,D. Gibson,
PSYC 21450,Psychology,Evolutionary Cognitive Psychology,100,,D. Gallo,
PSYC 21690,Psychology,Media and Psychology,100,,K. O'Doherty,
PSYC 21750,Psychology,Biological Clocks and Behavior,100,BIOS 24248,B. Prendergast,
PSYC 21840,Psychology,Advanced Seminar in Person Perception,100,,J. Cloutier,
PSYC 22250,Psychology,Windows to the Social Brain,100,,J. Decety,
PSYC 22580,Psychology,Child Development in the Classroom,100,,Kate O'Doherty,
PSYC 23000,Psychology,Cultural Psychology: Philosophical and Theoretical Foundations,100,"AMER 33000,ANTH 24320,ANTH 35110,CHDV 31000,GNSE 21001,GNSE 31000,PSYC 33000,CHDV 21000",R. Shweder,"CHDV Distribution, B*, C*; 2*, 3*"
PSYC 23165,Psychology,Multidisciplinary Perspectives on Morality,100,,J. Decety,
PSYC 23200,Psychology,Introduction to Language Development,100,"CHDV 23900,LING 21600,LING 31600",S. Goldin-Meadow,"CHDV Distribution, B*; 2*, 5*"
PSYC 23249,Psychology,Animal Behavior,100,"CHDV 23249,BIOS 23249","S. Pruett-Jones (even years), J. Mateo (odd years)","CHDV Distribution, A"
PSYC 23800,Psychology,Introduction to Learning and Memory,100,,D. Gallo,
PSYC 23860,Psychology,Beyond Good and Evil: The Psychology of Morality,100,,A. Shaw,
PSYC 24000,Psychology,Systems Neuroscience,100,,"M. Hale, D. Freedman",This course meets one of the requirements of the neuroscience specialization.
PSYC 24050,Psychology,Understanding Wisdom,100,"HUMA 24005,RLST 24050,BPRO 24000","C. Gilpin, A. Henly",
PSYC 24249,Psychology,Neurobiology of Seeing,100,BIOS 24249,"W. Wei, M. Sherman, J. Maunsell, S. Shevell",This course is designed as an advanced neuroscience course for undergraduate and graduate students. The students are expected to have a general background in neurophysiology and neuroanatomy.
PSYC 24680,Psychology,Psychology and the Law,100,,J. Bregant,
PSYC 25101,Psychology,The Psychology of Decision Making,100,,B. Keysar,This course is a recommended for PSYC 25700 The Psychology of Negotiation.
PSYC 25470,Psychology,Cognitive Diversity,100,,D. Casasanto,
PSYC 25670,Psychology,Psychology of Class and Status,100,,I. Gyurovski,
PSYC 25700,Psychology,The Psychology of Negotiation,100,,B. Keysar,
PSYC 25750,Psychology,The Psychology and Neurobiology of Stress,100,BIOS 29271,G. Norman,
PSYC 25901,Psychology,Psychology for Citizens,100,CHDV 26901,W. Goldstein,
PSYC 25950,Psychology,The Psychology of Stereotyping and Prejudice,100,CRES 25950,J. Kubota,
PSYC 27950,Psychology,Evolution and Economics of Human Behavior,100,"CHDV 37950,PSYC 37950,BIOS 29265,ECON 14810,CHDV 27950",D. Maestripieri,"CHDV Distribution, A*; 1*"
PSYC 28910,Psychology,Animal Models in the Study of Cognition,100,,L. Kay,
PSYC 29200,Psychology,Undergraduate Reading in Psychology,100,,,Students are required to submit the College Reading and Research Course Form. Available for either quality grades or for P/F grading.
PSYC 29700,Psychology,Undergraduate Research in Psychology,100,,,Students are required to submit the College Reading and Research Course Form. Available for either quality grades or for P/F grading.
PSYC 29800,Psychology,Honors Seminar,100,,B. Prendergast,Open to third- or fourth-year students who are majoring in psychology and have begun their thesis project. Available for either quality grades or for P/F grading.
RLST 10100,Religious Studies,Introduction to Religious Studies,100,,R. Rosengarten,Required of students who are majoring in Religious Studies.
RLST 11004,Religious Studies,Introduction to the Hebrew Bible,100,"BIBL 31000,JWSC 20120,NEHC 20504,NEHC 30504",Jeffrey Stackert,This course may be used to fulfill the College’s general education requirement in civilization studies.
RLST 11030,Religious Studies,Introduction to the Qur'an,100,"NEHC 30030,NEHC 20030,ISLM 30030",Yousef Casewit,
RLST 12602,Religious Studies,Introduction to the New Testament,100,"FNDL 28205,BIBL 32602",Jeff Jay,
RLST 20150,Religious Studies,Jewish Thought in the Medieval Islamic World,100,"HIJD 30150,NEHC 20583,NEHC 30583,JWSC 20150","Sarah Stroumsa, Greenberg Visiting Professor of Jewish Studies",
RLST 20231,Religious Studies,Jews and Christians in the Middle East,100,"JWSC 26215,NEHC 20585,BPRO 25400","O. Bashkin, A. Heo",
RLST 20401,Religious Studies,Islamic Thought and Literature I,100,"NEHC 30601,SOSC 22000,HIST 25610,HIST 35610,ISLM 30601,NEHC 20601",A. El Shamsy,
RLST 20402,Religious Studies,Islamic Thought and Literature II,100,"NEHC 30602,SOSC 22100,ISLM 30602,CMES 30602,NEHC 20602",F. Lewis,Taking these courses in sequence is recommended but not required. This sequence meets the general education requirement in civilization studies.
RLST 20403,Religious Studies,Islamic Thought and Literature III,100,"NEHC 30603,SOSC 22200,NEHC 20603",A. El Shamsy,This course does not apply to the medieval studies major or minor.
RLST 20408,Religious Studies,The Bible and Archaeology,100,"NEHC 20121,NEHC 30121,JWSC 20121",David Schloen,This course may be used to fulfill the College’s general education requirement in civilization studies.
RLST 20501,Religious Studies,Islamic History and Society I: The Rise of Islam and the Caliphate,100,"NEHC 30501,HIST 25704,HIST 35704,ISLM 30500,NEHC 20501",F. Donner,Taking these courses in sequence is recommended but not required. This sequence meets the general eduation requirement in civilization studies.
RLST 20505,Religious Studies,Pagans and Christians: Greek Backgrounds to Early Christianity,100,"CLCV 26200,CLAS 36200",D. Martinez,
RLST 20702,Religious Studies,Calvin's Institutes,100,"HCHR 41700,FNDL 23113,THEO 41300",Susan Schreiner,
RLST 21107,Religious Studies,Readings in Maimonides' Guide of the Perplexed,100,"ISLM 45400,FNDL 24106,RLIT 45402,NEHC 40470,JWSC 21107,HREL 45401,HIJD 45400",James Robinson,
RLST 21203,Religious Studies,Temple State to People of the Book: Judeans/Jews in History,100,"BIBL 30151,HIJD 30151,HIST 20506,NEHC 30410,JWSC 20151",Daniel Schwartz (Greenberg Visiting Professor),
RLST 21400,Religious Studies,"Latin American Religions, New and Old",100,,D. Borges,
RLST 21801,Religious Studies,Religion and Society in the Middle Ages,100,HIST 27905,L. Pick,
RLST 22400,Religious Studies,Tolkien: Medieval and Modern,100,"FNDL 24901,HIST 29902",R. Fulton,
RLST 22505,Religious Studies,Histories of Japanese Religion,100,"HIST 34700,EALC 24700,EALC 34700,HREL 34705,HIST 24700",J. Ketelaar,
RLST 23400,Religious Studies,Introduction to Christian Theology,100,,R. Coyne,
RLST 23605,Religious Studies,"Aquinas on God, Being, and Human Nature",100,"CLCV 23712,FNDL 20700",S. Meredith,Required of all incoming Fundamentals majors
RLST 23900,Religious Studies,Buddhist Thought in India and Tibet,100,SALC 23903,D. Arnold,
RLST 23904,Religious Studies,Ethical and Theological Issues in Hinduism,100,"SALC 38304,SCTH 32202,HREL 33702",Wendy Doniger,"A seminar suitable for BA, MA and PhD students"
RLST 24050,Religious Studies,Understanding Wisdom,100,"HUMA 24005,PSYC 24050,BPRO 24000","C. Gilpin, A. Henly",
RLST 24201,Religious Studies,Indian Philosophy I: Origins and Orientations,100,"HREL 30200,SALC 20901,SALC 30901,DVPR 30201",Matthew Kapstein,
RLST 24202,Religious Studies,Indian Philosophy II: The Classical Traditions,100,"HREL 30300,SALC 20902,SALC 30902,DVPR 30302",Dan Arnold,
RLST 24910,Religious Studies,Pascal and Simone Weil,100,"CMLT 29101,CMLT 39101,FREN 39100,SCTH 38201,FNDL 21812,FREN 29100",T. Pavel,"Taught in English, with a special weekly session in French for students seeking French credit."
RLST 25120,Religious Studies,"The ""Science of Letters"" in Judaism and Islam",100,"HREL 44908,ISLM 44908,FNDL 25120,HIJD 44908",James Robinson,FNDL and  NEHC forthcoming
RLST 25405,Religious Studies,Milton,100,"FNDL 21201,ENGL 17501",J. Scodel,
RLST 25903,Religious Studies,Judah Halevi's Kuzari,100,"ISLM 45712,FNDL 25903,SCTH 45712,HIJD 45712",James Robinson and Ralph Lerner,
RLST 26150,Religious Studies,Introduction to Buddhism,100,"CHDV 29701,SALC 29700",S. Collins,
RLST 26310,Religious Studies,Islam and Biomedicine,100,"ISLM 33900,AASR 33900",Elham Mireshghi,
RLST 26623,Religious Studies,Narratives of Assimilation,100,"REES 27003,REES 37003,NEHC 20223,NEHC 30223,JWSC 20223",Bożena Shallcross,This course may be used to fulfill the general education requirement in civilization studies.
RLST 26800,Religious Studies,The Mahabharata in English Translation,100,"FNDL 24400,HREL 35000,SALC 20400,SALC 48200",W. Doniger,
RLST 27500,Religious Studies,Medicine and Culture,100,"ANTH 40300,GNDR 24300,GNDR 40300,HIPS 27300,ANTH 24300",J. Comaroff,
RLST 27516,Religious Studies,Religious Lyric in England & America: from Donne to T.S. Eliot,100,"ENGL 37516,RLST 37516,ENGL 17516",R. Strier,
RLST 28020,Religious Studies,"Animals, Ethics, and Religion",100,ENGL 24951,K. Mershon,"Religious Studies majors and minors may petition to have this course counted towards the Constructive Studies requirement rather than the Cultural Studies requirement.,,English majors: this course meets the Fiction (B) distribution requirement."
RLST 28215,Religious Studies,Thomas Mann's Joseph and His Brothers,100,"GRMN 25117,CMLT 25103,JWSC 23402,FNDL 25100",O. Solovieva,
RLST 28610,Religious Studies,Topics in EALC: Major Works of East Asian Buddhism,100,EALC 10500,P. Copp,
RLST 28617,Religious Studies,"The Dao De Jing: Text, Philosophy, and Religion",100,"EALC 35405,EALC 15405",B. Zhou,
RLST 28704,Religious Studies,"The Veneration of Icons in Byzantium:History,Theory,& Practice",100,"ARTH 44014,RLIT 44004,HCHR 44004",Karin Krause,
RLST 28716,Religious Studies,Veiling the Image: Sacred & Profane – Antiquity to Modernity,100,"ARTH 39150,RLIT 39150,ARTH 29150",J. Elsner,
RLST 29700,Religious Studies,Reading and Research Course,100,,,Students are required to submit the College Reading and Research Course Form.
RLST 29800,Religious Studies,BA Paper Seminar,100,,,RLST 29800 and 29900 form a two-quarter sequence that is required of fourth-year students who are majoring in Religious Studies. Students will register via pink slip.
RLST 29900,Religious Studies,BA Paper,100,,,RLST 29800 and 29900 form a two-quarter sequence that is required of fourth-year students who are majoring in Religious Studies. Students will register via pink slip.
LACS 16100,Latin American Studies,Introduction to Latin American Civilization I,100,"ANTH 23101,CRES 16101,HIST 16101,HIST 36101,LACS 34600,SOSC 26100",A. Kolata,
LACS 16200,Latin American Studies,Introduction to Latin American Civilization II,100,"ANTH 23102,CRES 16102,HIST 16102,HIST 36102,LACS 34700,SOSC 26200",D. Borges,
LACS 16300,Latin American Studies,Introduction to Latin American Civilization III,100,"ANTH 23103,CRES 16103,HIST 16103,HIST 36103,LACS 34800,SOSC 26300",B. Fischer,
LACS 22501,Latin American Studies,Elementary Haitian Kreyol I,100,LACS 32501,Lecturer,
LACS 22502,Latin American Studies,Elementary Haitian Kreyol II,100,LACS 32502,Lecturer,
LACS 22503,Latin American Studies,Elementary Haitian Kreyol III,100,LACS 32503,Lecturer,
LACS 24705,Latin American Studies,Argentine Histories,100,"LACS 34705,HIST 26122,HIST 36122",P. Palomino,
LACS 25109,Latin American Studies,Clientelism and Elections in Latin America,100,LACS 35109,"Joy Langston, Tinker Visiting Professor",
LACS 25110,Latin American Studies,"Revolutions, Constitutions, and War: A Continent Transformed",100,"LACS 35110,HIST 26316,HIST 36316","Erika Pani, Tinker Visiting Professor",
LACS 25111,Latin American Studies,Tiempos mexicanos: la violencia y la comunidad por venir,100,"LACS 35111,SPAN 25117,SPAN 35117","Juan Villoro, Tinker Visiting Professor",
