,course_title,course_unit,equivalent_courses,instructors,notes
MENG 20100,Turning Science and Innovation into Impactful Technologies,100,,"Supratik Guha, Sharon Feng",
MENG 21000,Molecularly Engineered Materials and Material Systems,100,,Paul Nealey,
MENG 23000,Mathematical Foundation of Molecular Engineering,100,,"Juan de Pablo, Giulia Galli",
MENG 23100,Applied Numerical Methods in Molecular Engineering,100,MENG 33100,Staff,
MENG 23310,Experimental Techniques and Advanced Instrumentation,100,MENG 33310,David Awschalon,
MENG 23320,Optics for Engineers,100,MENG 33320,Supratik Guha,
MENG 23700,Quantum Computation,100,MENG 33700,Staff,
MENG 24100,Selected Topics in Molecular Engineering: Molecular/Materials Modelling I,100,MENG 34100,"Juan de Pablo, Giulia Galli",
MENG 24200,Selected Topics in Molecular Engineering: Molecular/Materials Modelling II,100,MENG 34200,"Giulia Galli, Juan de Pablo",
MENG 24300,Selected Topics in Molecular Engineering:  The Engineering and Biology of Tissue Repair,100,BIOS 21507,Jeffrey Hubbell,
MENG 24310,Cellular Engineering,100,MENG 34310,Jun Huang,
MENG 25000,Introduction to the Design Process,100,,Staff,
MENG 26010,Engineering Principles of Conservation,100,,,
MENG 26020,Engineering Electrodynamics,100,,,
MENG 26030,Introduction to Engineering Analysis,100,,,
MENG 26101,Transport Phenomena I: Forces and Flows,100,,,
MENG 26102,Transport Phenomena II,100,,,
MENG 26201,Thermodynamics and Statistical Mechanics I,100,,,
MENG 26202,Thermodynamics and Statistical Mechanics II,100,,,
MENG 27100,Biological Materials,100,BIOS 29328,,
MENG 27200,Quantum Materials,100,,,
MENG 27300,Polymer Physics and Engineering,100,,,
MENG 29500,Engineering Design,300,,,
MENG 29501,Undergraduate Research Colloquium,000,,,
MENG 29600,Practice of Research,100,,David Awschalom,
MENG 29700,Undergraduate Research for Molecular Engineering,100,,IME Faculty,"If a student cannot engage an IME faculty research sponsor on their own, the student should consult with the Director of Undergraduate Studies, Institute for Molecular Engineering, Professor Paul Nealey."
ISHU 29802,The BA Colloquium,000,,,"Required of third-year students who are majoring in ISHU. This zero-unit, noncredit course must be taken for P/F grading. To meet requirements for full-time student status, students must carry at least three additional courses while registered for this course."
ISHU 29900,Preparation of the BA Project,100,,,Students are required to submit the College Reading and Research Course Form.
STAT 20000,Elementary Statistics,100,,,"For students with little or no math background. Not recommended for students planning to take STAT 22000 or STAT 23400 or more advanced courses in Statistics. Students with credit for STAT 22000, STAT 23400 or more advanced courses in Statistics not admitted. This course may not be used in the Statistics major or minor.   This course meets one of the general education requirements in the mathematical sciences."
STAT 22000,Statistical Methods and Applications,100,,,"Students may count either STAT 22000 or 23400, but not both, toward the forty-two credits required for graduation.  Students with credit for STAT 23400 not admitted."
STAT 22200,Linear Models and Experimental Design,100,,,
STAT 22400,Applied Regression Analysis,100,PBHS 32400,,
STAT 22600,Analysis of Categorical Data,100,PBHS 32600,,
STAT 22700,Biostatistical Methods,100,PBHS 32700,F. Yang,
STAT 22810,Epidemiology and Population Health,100,"PPHA 36410,PBHS 30910",D. Lauderdale,
STAT 23400,Statistical Models and Methods,100,,,"Students may count either STAT 22000 or 23400, but not both, toward the forty-two credits required for graduation."
STAT 24300,Numerical Linear Algebra,100,STAT 30750,,
STAT 24400,Statistical Theory and Methods I,100,,,"Some previous experience with statistics and/or probability helpful but not required. Students may count either STAT 24400 or STAT 24410, but not both, toward the forty-two credits required for graduation."
STAT 24410,Statistical Theory and Methods Ia,100,,,"Some previous experience with statistics helpful but not required. Students may count either STAT 24400 or STAT 24410, but not both, toward the forty-two credits required for graduation."
STAT 24500,Statistical Theory and Methods II,100,,,
STAT 24610,Pattern Recognition,100,STAT 37500,,
STAT 25100,Introduction to Mathematical Probability,100,,,
STAT 25150,Introduction to Mathematical Probability-A,100,,Robert Fefferman,
STAT 25300,Introduction to Probability Models,100,STAT 31700,,
STAT 26100,Time Dependent Data,100,STAT 33600,,
STAT 26700,History of Statistics,100,"CHSS 32900,HIPS 25600,STAT 36700",S. Stigler,
STAT 27400,Nonparametric Inference,100,STAT 37400,,
STAT 27725,Machine Learning,100,CMSC 25400,R. Kondor,
STAT 27850,"Multiple Testing, Modern Inference, and Replicability",100,STAT 30850,R. Foygel Barber,
STAT 28000,Optimization,100,,,
STAT 28200,Dynamical Systems with Applications,100,,Mary Silber,
STAT 29700,Undergraduate Research,100,,,"Students are required to submit the College Reading and Research Course Form. Open to all students, including nonmajors. May be taken either for quality grades or for P/F grading."
STAT 29900,Bachelor's Paper,100,,,Students are required to submit the College Reading and Research Course Form. Open only to students who are majoring in Statistics. May be taken for P/F grading. Credit for STAT 29900 may not be counted toward the major in Statistics.
ARTV 10100,Visual Language: On Images,100,TAPS 28444,,"ARTV 10100, 10200, and 10300 may be taken in sequence or individually. This course meets the general education requirement in the arts. Previous experience in media-based studio courses not accepted as a substitute for this course."
ARTV 10200,Visual Language: On Objects,100,TAPS 28445,,"ARTV 10100, 10200, and 10300 may be taken in sequence or individually. This course meets the general education requirement in the arts. Previous experience in media-based studio courses not accepted as a substitute for this course."
ARTV 10300,Visual Language: On Time and Space,100,"CMST 10300,TAPS 23400",,"ARTV 10100, 10200, and 10300 may be taken in sequence or individually. This course meets the general education requirement in the arts. Previous experience in media-based studio courses not accepted as a substitute for this course."
ARTV 15000,Art Practice and Theory,100,,"A. Ginsburg, Z. Cahill",It is recommended that students who are majoring in visual arts enroll in this required course before their fourth year. Open to nonmajors with consent of instructor. This course does not meet the general education requirement in the arts.
ARTV 20009,Art and Human Rights,100,"HIST 29906,HMRT 25502,TAPS 25510,BPRO 25500","M. Bradley, L. Buxbaum-Danzig",
ARTV 20201,Topics in Contemporary Theory and Criticism,100,"ARTH 30201,MAPH 40201,ARTV 40201,ARTH 20201",J. Proctor,
ARTV 20410,"Expanded Arts, 1958-1978",100,"ARTH 34010,MAPH 34010,ARTV 30410,ARTH 24010",J. Proctor,
ARTV 20805,"Framing, Re-framing, and Un-framing Cinema",100,"CMST 37805,ARTV 30805,CMST 27805","T. Gunning, M. Downie, P. Kaiser",
ARTV 20940,The Artist as Ethnographer,100,"ARTH 35940,ARTV 30954,ARTH 25940",Y. Umolu,
ARTV 21002,Life Drawing,100,ARTV 31002,D. Schutter,
ARTV 21110,Imagining Futures: Speculative Design and Social Justice,100,"ENGL 31110,ARTV 31110,CMST 21110,CMST 31110,TAPS 28432,TAPS 38432,ENGL 21110",P. Jagoda and T. Soundararajan,
ARTV 21501,Introduction to Printmaking,100,ARTV 31501,K. Desjardins,
ARTV 21701,Conceptual Drawing,100,ARTV 31701,S. Wolniak,
ARTV 21902,Color: Theory and Experience,100,ARTV 31902,K. Desjardins,
ARTV 22000,Introduction to Painting I,100,ARTV 32200,K. Desjardins,
ARTV 22002,Introduction to Painting II,100,ARTV 32202,K. Desjardins,
ARTV 22309,Building a House for a Kiln,100,ARTV 32309,A. Ginsburg,
ARTV 22310,Art of Engagement,100,ARTV 32310,A. Ginsburg,
ARTV 22500,Digital Imaging,100,"ARTV 32500,CMST 28801,CMST 38801",J. Salavon,
ARTV 22502,Data and Algorithm in Art,100,ARTV 32502,J. Salavon,No prior experience with programming is necessary.
ARTV 23801,Video,100,"ARTV 33801,CMST 28903",S. Wolniak,
ARTV 23804,Experimental Animation,100,ARTV 33804,S. Wolniak,
ARTV 23806,Video Workshop,100,ARTV 33806,S. Wolniak,
ARTV 23904,Senior Creative Thesis Workshop,100,"CMST 23904,ARTV 33904",J. Hoffman,
ARTV 23905,Creative Thesis Workshop,100,"CMST 33905,ARTV 33905",Judy Hoffman,
ARTV 23930,Documentary Production I,100,"ARTV 33930,CMST 33930,HMRT 25106,HMRT 35106",J. Hoffman,Prior or concurrent enrollment in CMST 10100 recommended
ARTV 24000,Introduction to Black and White Film Photography,100,"ARTV 34000,CMST 27600,CMST 37600","A. Clark, E. Hogeman",Camera and light meter required.
ARTV 24112,Advanced Problems in Sculpture,100,ARTV 34112,G. Oppenheimer,
ARTV 24121,Adopted Strategies,100,ARTV 34121,C. Jackson,
ARTV 24131,Studio Writing,100,ARTV 34131,S. Keller,
ARTV 24201,Collage,100,ARTV 34201,S. Wolniak,
ARTV 24266,Polemical Hut,100,"ARTV 34266,ARTH 24266,ARTH 34266",S. Keller,
ARTV 24301,Writing for Performance,100,"ARTV 34301,TAPS 28414",W. Pope.L,
ARTV 24403,Advanced Photography,100,ARTV 34403,E. Hogeman,Camera and light meter required.
ARTV 24550,Shopcraft: Methods and Materials,100,"ARTV 34550,TAPS 27900",D. Wolf,
ARTV 24703,Mixed-Media Drawing: From Object to Concept,100,ARTV 34703,K. Desjardins,Open to all levels of experience.
ARTV 24705,"Drawing from Life, Culture, and Thought",100,ARTV 34705,J. Stockholder,
ARTV 25300,Introduction to Film Analysis,100,"ARTH 20000,ENGL 10800,CMST 10100",Staff,Required of students majoring in Cinema and Media Studies
ARTV 26000,Introduction to Stage Design,100,ARTV 36300,T. Burch,Lab fee required. This course is offered in alternate years.
ARTV 26214,On Art and Life,100,ARTV 36214,G. Oppenheimer,
ARTV 26500,History of International Cinema I: Silent Era,100,"ARTH 28500,ARTH 38500,ARTV 36500,CMLT 22400,CMLT 32400,CMST 48500,ENGL 29300,ENGL 48700,MAPH 36000,CMST 28500",T. Gunning,This is the first part of a two-quarter course.
ARTV 26600,History of International Cinema II: Sound Era to 1960,100,"ARTH 28600,ARTH 38600,CMLT 22500,CMLT 32500,CMST 48600,ENGL 29600,ENGL 48900,MAPH 33700,CMST 28600",D. Morgan,CMST 28500/48500 strongly recommended
ARTV 27200,Painting,100,ARTV 37200,D. Schutter,
ARTV 27210,Intermediate/Advanced Painting,100,ARTV 37210,K. Desjardins,
ARTV 28204,Political Documentary Film,100,"ARTV 38204,CMST 38201,CMST 28201",J. Hoffman,
ARTV 29600,Junior Seminar,100,,"S. Wolniak, A. Ginsburg",It is recommended that students who are majoring in visual arts enroll in this required course in Spring Quarter of their third year
ARTV 29700,Independent Study in Visual Arts,100,,,Students are required to submit the College Reading and Research Course Form.
ARTV 29850,Senior Seminar,100,,"K. Desjardins, W. Pope.L",Required of students who are majoring in visual arts
ARTV 29900,Senior Project,100,,J. Stockholder,
HIPS 15002,Whales and Whaling in American History,100,HIST 15002,M. Rossi,
HIPS 17300,"Science, Culture, and Society in Western Civilization I",100,HIST 17300,J. Wee,
HIPS 17400,"Science, Culture, and Society in Western Civilization II",100,HIST 17400,R. Richards,
HIPS 17402,"Science, Culture, and Society in Western Civilization II: History of Medicine 1",100,HIST 17402,,
HIPS 17501,"Science, Culture, and Society in Western Civilization III: Medicine since the Renaissance",100,HIST 17501,,
HIPS 17502,"Science, Culture, and Society in Western Civilization IV: Modern Science",100,HIST 17502,J. Evans,
HIPS 17503,"Science, Culture, and Society in Western Civilization III: History of Medicine 2",100,HIST 17503,,
HIPS 20003,Discovering Anthropology: Reading Race,100,"CRES 20003,ANTH 38305,ANTH 20003",R. Tuttle,
HIPS 20300,Scientific/Technological Change,100,CHSS 42300,,
HIPS 20500,Intermediate Logic,100,"CHSS 33600,PHIL 39600,PHIL 29400",A. Vasudevan,Undergrads enroll in sections 01 & 02. Graduates enroll in section 03.
HIPS 20700,Elementary Logic,100,"CHSS 33500,PHIL 30000,PHIL 20100",M. Kremer,Undergrads enroll in sections 01 through 08. Graduates enroll in section 09.
HIPS 20800,Evolutionary Processes,100,,,This course does not meet requirements for the biological sciences major.
HIPS 20905,Advanced Logic,100,"CHSS 39405,PHIL 39405,PHIL 29405",K. Davey,
HIPS 21000,Introduction to Ethics,100,"FNDL 23107,PHIL 21000",C. Vogler,Students should register via discussion section.
HIPS 21100,Celebrity and Science in Paleoanthropology,100,"ANTH 38300,ANTH 21406",R. Tuttle,
HIPS 21200,Big Science and the Birth of the National Security State,100,"ANTH 34900,ANTH 22400",J. Masco,
HIPS 21301,The Anthropology of Science,100,"ANTH 32300,ANTH 22105",J. Masco,
HIPS 21400,Intro to Medical Ethics,100,,,
HIPS 22000,Introduction to the Philosophy of Science,100,,K. Davey,
HIPS 22300,Philosophy of Social Science,100,"CHSS 37700,PHIL 32900,PHIL 22900",W. Wimsatt,
HIPS 22700,Philosophical Problems in the Biological Sciences,100,,,
HIPS 23000,The Organization of Knowledge,100,,W. Sterner,
HIPS 23600,History and Theory of Human  Evolution,100,"ANTH 38400,EVOL 38400,ANTH 21102",R. Tuttle,
HIPS 23700,Apes and Human Evolution,100,,R. Tuttle,BIOS 23241 recommended.
HIPS 23900,Biological and Cultural Evolution,100,,"W. Wimsatt, S. Mufwene",This course does not meet requirements for the biological sciences major.
HIPS 24000,Evolution of the Hominoidea,200,"ANTH 38100,EVOL 38100,ANTH 28100",R. Tuttle,
HIPS 24300,Foucault and The History of Sexuality,100,"CMLT 25001,FNDL 22001,GNSE 23100,KNOW 27002,PHIL 24800",A. Davidson,One prior philosophy course is strongly recommended. Students should register via discussion section.
HIPS 25014,Introduction to Environmental History,100,"HIST 35014,CHSS 35014,HIST 25014",F. Albritton Jonsson,
HIPS 25205,"Computers, Minds, Intelligence & Data",100,HUMA 25205,M. Browning,
HIPS 25506,Science and Aesthetics in the Eighteenth to the Twenty-First Centuries,100,"CHSS 35506,HIST 35506,PHIL 24301,PHIL 34301,SIGN 26003,HIST 25506",R. Richards,
HIPS 25600,History of Statistics,100,"STAT 26700,CHSS 32900,STAT 36700",S. Stigler,
HIPS 25901,Evolution of Mind and Morality: Nineteenth to Twenty-First Centuries,100,"CHSS 35900,HIST 25501,HIST 35501,PHIL 24300,PHIL 34300,PSYC 28200",R. Richards,
HIPS 25902,A History of Cell and Molecular Biology,100,BIOS 29270,K. Matlin,
HIPS 26000,History of Philosophy II: Medieval and Early Modern Philosophy,100,PHIL 26000,B. Callard,Students should register via discussion section.
HIPS 26121,"Nature, Science, and Empire in the Early Modern Iberian World",100,"LACS 26121,HIST 26121",V. López Fadul,
HIPS 26203,Nature/Culture,100,"ANTH 43805,CHSS 32805,ANTH 23805",J. Masco,
HIPS 26502,Social Studies of Science,100,"SOCI 20148,SOCI 30148,CHSS 30310",J. Evans,
HIPS 27300,Medicine and Culture,100,"ANTH 40300,GNDR 24300,GNDR 40300,RLST 27500,ANTH 24300",J. Comaroff,
HIPS 27301,Medical Anthropology,100,"ANTH 24330,CHDV 23204",E. Raikhel,"CHDV Distribution, C*,D*"
HIPS 28101,Psychoanalysis and Philosophy,100,"PHIL 38209,SCTH 37501,PHIL 28210",J. Lear,
HIPS 28202,Topics in Philosophy of Science: Mechanism and Causation,100,"PHIL 21109,PHIL 31109",B. Fogel,Background in science not required.
HIPS 28305,Catastrophic Thinking: Extinction in Culture and Science,100,"CHSS 38305,HIST 25420,HIST 35420",D. Sepkoski,
HIPS 28601,Environment and the Body,100,,A. Gugliotta,
HIPS 28801,Environmental Law,100,,,
HIPS 29623,Scientists & the Political Sphere in Six Germanys 1871-Present,100,HIST 25414,R. Dahn,
HIPS 29700,"Readings and Research in History, Philosophy, and Social Studies of Science and Medicine",100,,,Students are required to submit the College Reading and Research Course Form.
HIPS 29800,Junior Seminar: My Favorite Readings in the History and Philosophy of Science,100,HIST 25503,R. Richards,
HIPS 29810,Bachelor's Thesis Workshop,100,,,
HIPS 29900,Bachelor's Thesis,100,,,Students are required to submit the College Reading and Research Course Form.
CHEM 00111,Collaborative Learning in General Chemistry I,000,,B. Ratliff,Enrollment in CHEM 00111 is section specific: CHEM 11100-01 students should enroll in CHEM 00111-01 while CHEM 11100-02 students should enroll in CHEM 00111-02.
CHEM 00112,Collaborative Learning in General Chemistry II,000,,B. Ratliff,Enrollment in CHEM 00112 is section specific: CHEM 11200-01 students should enroll in CHEM 00112-01 while CHEM 11200-02 students should enroll in CHEM 00112-02. CHEM 00111 is not a prerequisite for this course.
CHEM 00113,Collaborative Learning in General Chemistry III,000,,B. Ratliff,Enrollment in CHEM 00113 is section specific: CHEM 11300-01 students should enroll in CHEM 00113-01 while CHEM 11300-02 students should enroll in CHEM 00113-02. CHEM 00111 and CHEM 00112 are not prerequisites for this course.
CHEM 00220,Collaborative Learning in Organic Chemistry I,000,,B. Ratliff,
CHEM 00221,Collaborative Learning in Organic Chemistry II,000,,B. Ratliff,CHEM 00220 is not a prerequisite for this course.
CHEM 00222,Collaborative Learning in Organic Chemistry III,000,,B. Ratliff,CHEM 00220 and CHEM 00221 are not prerequisites for this course.
CHEM 10100,Introductory General Chemistry I,100,,Staff. L: M. Zhao.,Enrollment by placement only. The first two courses in this sequence meet the general education requirement in the physical sciences.
CHEM 10200,Introductory General Chemistry II,100,,Staff. L: M. Zhao.,Enrollment by placement only. The first two courses in this sequence meet the general education requirement in the physical sciences.
CHEM 11100,Comprehensive General Chemistry I,100,,"N. Scherer, D. Mazziotti. L: M. Zhao",Enrollment by placement only. The first two courses in this sequence meet the general education requirement in the physical sciences.
CHEM 11200,Comprehensive General Chemistry II,100,,"G. Engel, B. Tian. L: M. Zhao.",Enrollment by placement only. The first two courses in this sequence meet the general education requirement in the physical sciences.
CHEM 11300,Comprehensive General Chemistry III,100,,"K.Y.C. Lee, B.Roux. L: M. Zhao",Enrollment by placement only. The first two courses in this sequence meet the general education requirement in the physical sciences.
CHEM 12100,Honors General Chemistry I,100,,S. Sibener. L: M. Zhao,Enrollment by placement only. The first two courses in this sequence meet the general education requirement in the physical sciences.
CHEM 12200,Honors General Chemistry II,100,,A. Tokmakoff.  L: M. Zhao,Enrollment by placement only. The first two courses in this sequence meet the general education requirement in the physical sciences.
CHEM 12300,Honors General Chemistry III,100,,G. Voth. L: M. Zhao,Enrollment by placement only. The first two courses in this sequence meet the general education requirement in the physical sciences.
CHEM 20100,Inorganic Chemistry I,100,,D. Talapin,
CHEM 20200,Inorganic Chemistry II,100,,R. Jordan,
CHEM 22000,Organic Chemistry I,100,,V. Rawal. L: V. Keller,Students who receive a grade of B+ or higher in CHEM 22000 have the option of moving into honors organic chemistry for Winter/Spring. See following listing for CHEM 23100-23200. NOTE: Most medical schools require a full academic year of organic chemistry. A lab is one afternoon a week in addition to scheduled class time each quarter.
CHEM 22100,Organic Chemistry II,100,,L. Yu.  L: V. Keller,(Students who receive a grade of B+ or higher in CHEM 22000 have the option of moving into honors organic chemistry for Winter/Spring. See following listing for CHEM 23100-23200. NOTE: Most medical schools require a full academic year of organic chemistry. A lab is one afternoon a week in addition to scheduled class time each quarter.
CHEM 22200,Organic Chemistry III,100,,J. Piccirilli. L: V. Keller,Students who receive a grade of B+ or higher in CHEM 22000 have the option of moving into honors organic chemistry for Winter/Spring. See following listing for CHEM 23100-23200.) NOTE: Most medical schools require a full academic year of organic chemistry. A lab is one afternoon a week in addition to scheduled class time each quarter.
CHEM 22700,Advanced Organic/Inorganic Laboratory,100,,M. Hopkins,
CHEM 23000,Honors Organic Chemistry I,100,,Y. Krishnan. L: V. Keller,Students who have taken CHEM 22000 or 22100 with an average grade of B+ or higher may petition the department to move into the Honors sequence. Most medical schools require a full academic year of organic chemistry. A lab is one afternoon a week in addition to scheduled class time each quarter.
CHEM 23100,Honors Organic Chemistry II,100,,S. Kozmin. L: V. Keller,Students who have taken CHEM 22000 or 22100 with an average grade of B+ or higher may petition the department to move into the Honors sequence. Most medical schools require a full academic year of organic chemistry. A lab is one afternoon a week in addition to scheduled class time each quarter.
CHEM 23200,Honors Organic Chemistry III,100,,J. Lewis.  L: V. Keller,
CHEM 23300,Organic Chemistry of Proteins,100,,S. Kent,
CHEM 26100,Quantum Mechanics,100,,K.Y.C. Lee,
CHEM 26200,Thermodynamics,100,,P. Guyot-Sionnest,
CHEM 26300,Chemical Kinetics and Dynamics,100,,L. Butler,
CHEM 26700,Experimental Physical Chemistry,100,,N. Scherer,
CHEM 26800,Computational Chemistry and Biology,100,,A. Dinner,
CHEM 29600,Research in Chemistry,000,,K.Y.C. Lee,Graded P/F; Students are required to submit the College Reading/Research Course Form
CHEM 29900,Advanced Research in Chemistry,100,,,Open only to students majoring in chemistry who are eligible for honors. Available for either quality grades or for P/F grading. Students are required to submit the College Reading and Research Course Form.
CHEM 30100,Advanced Inorganic Chemistry,100,,W. Lin,
CHEM 30200,Synthesis and Physical Methods in Inorganic Chemistry,100,,W. Lin,
CHEM 30400,Organometallic Chemistry,100,,J. Anderson,
CHEM 30500,Nanoscale Materials,100,,B. Tian,
CHEM 30600,Chemistry of the Elements and Materials,100,,J. Anderson,
CHEM 30900,Bioinorganic Chemistry,100,,C. He,
CHEM 31100,Supramolecular Chemistry,100,,,
CHEM 32100,Physical Organic Chemistry I,100,,L. Yu,
CHEM 32200,Organic Synthesis and Structure,100,,S. Kozmin,
CHEM 32300,Strategies and Tactics of Organic Synthesis,100,,S. Snyder,
CHEM 32400,Physical Organic Chemistry II,100,,,
CHEM 32500,Bioorganic Chemistry,100,BCMB 32500,,
CHEM 32900,Polymer Chemistry,100,,,
CHEM 33000,Complex Chemical Systems,100,,,
CHEM 33100,New Synthetic Reactions and Catalysts,100,,,
CHEM 33200,Chemical Biology I,100,,B. Dickinson,
CHEM 33300,Chemical Biology II,100,,R. Moellering,
CHEM 33400,High-Throughput Methods in Chemistry,100,,,
CHEM 36100,Wave Mechanics and Spectroscopy,100,,L. Butler,
CHEM 36200,Quantum Mechanics,100,,G. Voth,
CHEM 36300,Statistical Thermodynamics,100,,S. Vaikuntanathan,
CHEM 36400,Advanced Statistical Mechanics,100,,D. Mazziotti,
CHEM 36500,Chemical Dynamics,100,,S. Sibener,
CHEM 36800,Advanced Computational Chemistry and Biology,100,,K. Freed,This course may not be used to meet requirements for the BS degree.
CHEM 36900,Materials Chemistry,100,,,
CHEM 37100,Advanced Spectroscopies,100,,,
CHEM 37200,Statistical Mechanics of Polymers/Glasses,100,,,
CHEM 38700,Biophysical Chemistry,100,,A. Tokmakoff,
CHEM 51100,Scientific Methods and Ethics,100,,,
NCDV 29700,Reading Course,100,,,Must be taken for a quality grade.
NCDV 29800,Reading Course,100,,,Available for either quality grades or for P/F grading.
NCDV 29900,Independent Study,100,,,Must be taken for P/F grading.
GEOG 20000,Orientation Seminar,100,,M. Mikesell,Open to current and prospective geographical studies majors; open to nonmajors with consent of instructor
GEOG 20100,Cultural Geography,100,"ENST 25900,GEOG 30100",M. Mikesell,
GEOG 20500,Introduction to Spatial Data Science,100,"SOCI 30253,MACS 54000,SOCI 20253",L. Anselin,
GEOG 21900,Historical Geography of the United States,100,"GEOG 31900,HIST 28800,HIST 38800",M. Conzen,This course offered in even years.
GEOG 22100,Changing America in the Twentieth Century,100,"GEOG 32100,HIST 27506,HIST 37506",M. Conzen,This course offered odd years.
GEOG 22700,Urban Structure and Process,100,"CRES 20104,GEOG 32700,SOCI 30104,SOSC 25100,SOCI 20104",F. Stuart,
GEOG 23500,Urban Geography,100,GEOG 33500,M. Conzen,This course offered in even years.
GEOG 23700,Placing Chicago: Geographical Perspectives on a Global City,100,,M. Conzen,
GEOG 24000,Chicago Neighborhoods,100,"GEOG 34000,SOSC 36000,PBPL 24000,SOSC 26000",E. Talen,
GEOG 24100,Urban Design: The Chicago Experience,100,"PBPL 24100,SOSC 26001",E. Talen,
GEOG 24200,Urban Design Studio,100,"SOSC 36002,GEOG 34200,PBPL 26002,SOSC 26002",E. Talen,
GEOG 25300,Seminar: Problems in the Human Geography of the Middle East,100,,M. Mikesell,
GEOG 25400,Ancient Landscapes I,100,"NEAA 30061,ANTH 36710,GEOG 35400,ANTH 26710,NEAA 20061",E. Hammer,
GEOG 25500,Biogeography,100,"ENST 25500,EVOL 45500,GEOG 35500,BIOS 23406","B. Patterson (odd years, lab). L., Heaney (even years, discussion)",
GEOG 25800,Ancient Landscapes II,100,"ANTH 26711,GEOG 35800,ANTH 36711,NEAA 20062",E. Hammer,
GEOG 26100,Roots of the Modern American City,100,"ENST 26100,GEOG 36100,HIST 28900,HIST 38900",M. Conzen,This course offered in odd years.
GEOG 26600,Economics of Urban Policies,100,"GEOG 36600,LLSO 26202,PBPL 24500,ECON 26600","G. Tolley, K. Ierulli",
GEOG 26800,Geography Issues in Housing and Community Development,100,GEOG 36800,C. Barlow,
GEOG 26900,Understanding community: Civic Engagement and Public Policy,100,"GEOG 36900,PBPL 27800",C. Barlow,
GEOG 28201,Intro to Geographic Information Systems,100,GEOG 38201,T. Schuble,Graduate students will be allowed to enroll for section 2
GEOG 28400,Intermediate GIS,100,GEOG 38400,R. Greene,
GEOG 28600,Advanced GIS Analysis,100,,T. Schuble,
GEOG 28800,History of Cartography,100,GEOG 38800,G. Danzer,
GEOG 29100,Undergraduate Tutorial,100,,,Available for either quality grades or for P/F grading.
GEOG 29300,Readings in Geographic Literature in French,100,,M. Mikesell,Available for either quality grades or for P/F grading.
GEOG 29400,Readings in Nature and Culture,100,,M. Mikesell,
GEOG 29500,Readings in Culture and Nationality,100,,M. Mikesell,
GEOG 29700,Readings in Special Topics in Geography,100,,,Students are required to submit the College Reading and Research Course Form. Must be taken for a quality grade.
GEOG 29800,Senior Seminar,100,,M. Conzen,Must be taken for a quality grade.
PHIL 20100,Elementary Logic,100,"CHSS 33500,HIPS 20700,PHIL 30000",M. Kremer,Undergrads enroll in sections 01 through 08. Graduates enroll in section 09.
PHIL 20212,Ethics with Anscombe,100,PHIL 30212,A. Mueller; C. Vogler,Undergrads enroll in sections 01 and 02. Graduates enroll in section 03.
PHIL 20616,Merleau-Ponty and the scientific view of the human,100,,K. Davey,Open to students who have been admitted to the Paris Humanities Program. This course will be taught at the Paris Humanities Program.
PHIL 20710,Roman Philosophers on the Fear of Death,100,"CLCV 24716,CLAS 34716,LAWS 96305,RETH 30710,PHIL 30710,PLSC 22210,PLSC 32210",M. Nussbaum,
PHIL 20721,Dynamic Semantics,100,"LING 20721,LING 30721,PHIL 30721",M. Willer,
PHIL 20724,Counterfactuals,100,,M. Willer,
PHIL 20925,The Humanities as a Way of Knowing,100,"PHIL 30925,SCTH 30925",L. Daston,Consent of instructor.
PHIL 21000,Introduction to Ethics,100,"FNDL 23107,HIPS 21000",C. Vogler,Students should register via discussion section.
PHIL 21112,Rawls Before the Political Turn,100,PHIL 31112,D. Brudney,Undergrads enroll in sections 01 & 02. Graduates enroll in section 03.
PHIL 21113,The Children of Parmenides,100,"PHIL 31113,SCTH 30108",I. Kimhi,
PHIL 21502,Racial Injustice,100,PHIL 31502,"A. Ford, B. Laurence","Undergrads enroll in sections 01, 02, 03 & 04. Graduates enroll in section 05."
PHIL 21506,Memory and Unity of a Person,100,,D. Finkelstein,Students should register via discussion section.
PHIL 21507,Recognition in Ethics,100,PHIL 31507,M. Haase,
PHIL 21600,Introduction to Political Philosophy,100,"GNSE 21601,LLSO 22612,PLSC 22600",B. Laurence,Students should register via discussion section.
PHIL 21601,Introduction to Analytic Philosophy,100,,B. Callard,
PHIL 21606,Justice at Work,100,HMRT 22210,B. Laurence,Students should register via discussion section.
PHIL 21834,Self-Creation as a Philosophical and Literary Problem,100,SIGN 26001,A. Callard,
PHIL 21901,Feminist Philosophy,100,"HMRT 31900,LAWS 47701,PLSC 51900,RETH 41000,GNSE 29600,PHIL 31900",M. Nussbaum,
PHIL 22000,Introduction to the Philosophy of Science,100,"HIST 25109,HIST 35109,PHIL 32000",T. Pashby,Undergrads enroll in sections 01 & 02. Graduates enroll in section 03.
PHIL 22001,Teaching Precollegiate Philosophy,100,MAPH 32001,B. Schultz,
PHIL 22209,Philosophies of Environmentalism and Sustainability,100,"HMRT 22201,MAPH 32209,ENST 22209,GNSE 22204,PLSC 22202",B. Schultz,Course is open to undergraduates and MAPH students.
PHIL 22220,"Marx’s Capital, Volume I",100,"PHIL 32220,FNDL 22220",A. Ford,Undergrads enroll in sections 01 & 02. Graduates enroll in section 03.
PHIL 22515,"Philosophy: Practice, Form and Genre",100,MAPH 32250,B. Schultz,Course is open to undergraduates and MAPH students.
